13,01,130100,石家庄市
13,02,130200,唐山市
13,03,130300,秦皇岛市
13,04,130400,邯郸市
13,05,130500,邢台市
13,06,130600,保定市
13,07,130700,张家口市
13,08,130800,承德市
13,09,130900,沧州市
13,10,131000,廊坊市
13,11,131100,衡水市
14,01,140100,太原市
14,02,140200,大同市
14,03,140300,阳泉市
14,04,140400,长治市
14,05,140500,晋城市
14,06,140600,朔州市
14,08,140800,运城市
14,09,140900,忻州市
14,10,141000,临汾市
14,11,141100,吕梁市
15,01,150100,呼和浩特市
15,02,150200,包头市
15,03,150300,乌海市
15,04,150400,赤峰市
15,05,150500,通辽市
15,06,150600,鄂尔多斯市
15,07,150700,呼伦贝尔市
15,08,150800,巴彦淖尔市
15,09,150900,乌兰察布市
15,22,152200,兴安盟
15,25,152500,锡林郭勒盟
15,29,152900,阿拉善盟
21,01,210100,沈阳市
21,02,210200,大连市
21,03,210300,鞍山市
21,04,210400,抚顺市
21,05,210500,本溪市
21,06,210600,丹东市
21,07,210700,锦州市
21,08,210800,营口市
21,09,210900,阜新市
21,10,211000,辽阳市
21,11,211100,盘锦市
21,12,211200,铁岭市
21,13,211300,朝阳市
21,14,211400,葫芦岛市
22,01,220100,长春市
22,02,220200,吉林市
22,03,220300,四平市
22,04,220400,辽源市
22,05,220500,通化市
22,06,220600,白山市
22,07,220700,松原市
22,08,220800,白城市
22,24,222400,延边朝鲜族自治州
23,01,230100,哈尔滨市
23,02,230200,齐齐哈尔市
23,03,230300,鸡西市
23,04,230400,鹤岗市
23,05,230500,双鸭山市
23,06,230600,大庆市
23,07,230700,伊春市
23,08,230800,佳木斯市
23,09,230900,七台河市
23,10,231000,牡丹江市
23,11,231100,黑河市
23,12,231200,绥化市
32,01,320100,南京市
32,02,320200,无锡市
32,03,320300,徐州市
32,04,320400,常州市
32,05,320500,苏州市
32,06,320600,南通市
32,07,320700,连云港市
32,08,320800,淮安市
32,09,320900,盐城市
32,10,321000,扬州市
32,11,321100,镇江市
32,12,321200,泰州市
32,13,321300,宿迁市
33,01,330100,杭州市
33,02,330200,宁波市
33,03,330300,温州市
33,04,330400,嘉兴市
33,05,330500,湖州市
33,06,330600,绍兴市
33,07,330700,金华市
33,08,330800,衢州市
33,09,330900,舟山市
33,10,331000,台州市
33,11,331100,丽水市
34,01,340100,合肥市
34,02,340200,芜湖市
34,03,340300,蚌埠市
34,04,340400,淮南市
34,05,340500,马鞍山市
34,06,340600,淮北市
34,07,340700,铜陵市
34,08,340800,安庆市
34,10,341000,黄山市
34,11,341100,滁州市
34,12,341200,阜阳市
34,13,341300,宿州市
34,15,341500,六安市
34,16,341600,亳州市
34,17,341700,池州市
34,18,341800,宣城市
35,01,350100,福州市
35,02,350200,厦门市
35,03,350300,莆田市
35,04,350400,三明市
35,05,350500,泉州市
35,06,350600,漳州市
35,07,350700,南平市
35,08,350800,龙岩市
36,01,360100,南昌市
36,02,360200,景德镇市
36,03,360300,萍乡市
36,04,360400,九江市
36,05,360500,新余市
36,06,360600,鹰潭市
36,07,360700,赣州市
36,08,360800,吉安市
36,09,360900,宜春市
36,10,361000,抚州市
36,11,361100,上饶市
37,01,370100,济南市
37,02,370200,青岛市
37,03,370300,淄博市
37,04,370400,枣庄市
37,05,370500,东营市
37,06,370600,烟台市
37,07,370700,潍坊市
37,08,370800,济宁市
37,09,370900,泰安市
37,10,371000,威海市
37,11,371100,日照市
37,12,371200,莱芜市
37,13,371300,临沂市
37,14,371400,德州市
37,15,371500,聊城市
37,16,371600,滨州市
41,01,410100,郑州市
41,02,410200,开封市
41,03,410300,洛阳市
41,04,410400,平顶山市
41,05,410500,安阳市
41,06,410600,鹤壁市
41,07,410700,新乡市
41,08,410800,焦作市
41,09,410900,濮阳市
41,10,411000,许昌市
41,11,411100,漯河市
41,12,411200,三门峡市
41,13,411300,南阳市
41,14,411400,商丘市
41,15,411500,信阳市
41,16,411600,周口市
41,17,411700,驻马店市
41,90,419000,省直辖县级行政区划
42,01,420100,武汉市
42,02,420200,黄石市
42,03,420300,十堰市
42,05,420500,宜昌市
42,06,420600,襄阳市
42,07,420700,鄂州市
42,08,420800,荆门市
42,09,420900,孝感市
42,10,421000,荆州市
42,11,421100,黄冈市
42,12,421200,咸宁市
42,13,421300,随州市
42,28,422800,恩施土家族苗族自治州
42,90,429000,省直辖县级行政区划
43,01,430100,长沙市
43,02,430200,株洲市
43,03,430300,湘潭市
43,04,430400,衡阳市
43,05,430500,邵阳市
43,06,430600,岳阳市
43,07,430700,常德市
43,08,430800,张家界市
43,09,430900,益阳市
43,10,431000,郴州市
43,11,431100,永州市
43,12,431200,怀化市
43,13,431300,娄底市
43,31,433100,湘西土家族苗族自治州
44,01,440100,广州市
44,02,440200,韶关市
44,03,440300,深圳市
44,04,440400,珠海市
44,05,440500,汕头市
44,06,440600,佛山市
44,07,440700,江门市
44,08,440800,湛江市
44,09,440900,茂名市
44,12,441200,肇庆市
44,13,441300,惠州市
44,14,441400,梅州市
44,15,441500,汕尾市
44,16,441600,河源市
44,17,441700,阳江市
44,18,441800,清远市
44,19,441900,东莞市
44,20,442000,中山市
44,51,445100,潮州市
44,52,445200,揭阳市
44,53,445300,云浮市
45,01,450100,南宁市
45,02,450200,柳州市
45,03,450300,桂林市
45,04,450400,梧州市
45,05,450500,北海市
45,06,450600,防城港市
45,07,450700,钦州市
45,08,450800,贵港市
45,09,450900,玉林市
45,10,451000,百色市
